Keyword,Total Papers,Company Papers,University Papers
Augmented Reality (AR) and Virtual Reality (VR),433,230,203
Autonomous Vehicles and Robotics,875,414,461
Core Vision Algorithms,1647,741,906
Data Collection and Management,1213,557,656
Datasets and Benchmarks,604,287,317
Ethics and Fairness in Vision,69,32,37
Generative Models and Creativity,233,107,126
Human-Centric Vision,176,82,94
Industrial and Manufacturing Applications,509,226,283
Mathematical Foundations,1269,563,706
Medical Imaging and Healthcare,115,32,83
Miscellaneous,1511,703,808
Natural Language Processing,812,357,455
Natural Scenes and Environmental Analysis,186,81,105
Scene Understanding and Reconstruction,736,337,399
Security and Surveillance,126,53,73
Signal and Statistical Processing,317,126,191
Tools and Frameworks,529,217,312
Video Analysis and Action Recognition,588,276,312
Vision for Social Good,131,57,74
